link,square_meters,rooms,metro_station,minutes_to_metro,renovation_type,price,price_per_meter
https://www.cian.ru/sale/flat/300057506/,58.9,1,Крёкшино,11,,7750000,131579
https://www.cian.ru/sale/flat/304779000/,45.3,1,Фили,15,,23900000,527594
https://www.cian.ru/sale/flat/315478186/,30.9,1,Достоевская,7,,13700000,443366
https://www.cian.ru/sale/flat/315519301/,33,1,Авиамоторная,11,,19000000,575758
https://www.cian.ru/sale/flat/314369704/,43.3,1,Раменки,10,,27200000,628176
https://www.cian.ru/sale/flat/314430900/,35,1,Новогиреево,17,,8000000,228571
https://www.cian.ru/sale/flat/315263849/,61.3,1,Маяковская,5,,42900000,699837
https://www.cian.ru/sale/flat/312959100/,33,1,Новогиреево,14,,10950000,331818
https://www.cian.ru/sale/flat/315879631/,40,1,м. Преображенская площадь,,Косметический ремонт,12399000,309975
https://www.cian.ru/sale/flat/307275502/,41,1,Семёновская,14,,11500000,280488
https://www.cian.ru/sale/flat/314367389/,39.2,1,Бауманская,5,,15900000,405612
https://www.cian.ru/sale/flat/310865382/,32.8,1,Пражская,7,,7650000,233232
https://www.cian.ru/sale/flat/315253236/,42.1,1,Курская,8,,18500000,439430
https://www.cian.ru/sale/flat/314909861/,41.7,1,Аэропорт,12,,31500000,755396
https://www.cian.ru/sale/flat/315740984/,40,1,Некрасовка,11,Косметический ремонт,8800000,220000
https://www.cian.ru/sale/flat/315966443/,42,1,Нагатинская,10,,13800000,328571
https://www.cian.ru/sale/flat/314153399/,34.6,1,Беговая,11,,13500000,390173
https://www.cian.ru/sale/flat/315913481/,37,1,Медведково,12,Косметический ремонт,12800000,345946
https://www.cian.ru/sale/flat/315000012/,32,1,Рассказовка,6,,6300000,196875
https://www.cian.ru/sale/flat/315843220/,42,1,Крёкшино,11,,9000000,214286
https://www.cian.ru/sale/flat/315730533/,37.4,1,Зеленоград — Крюково,5,,8650000,231283
https://www.cian.ru/sale/flat/313486945/,37,1,Молодёжная,12,,15900000,429730
https://www.cian.ru/sale/flat/315952255/,47,1,,,,31900000,678723
https://www.cian.ru/sale/flat/315584136/,39,1,Яхромская,19,,9500000,243590
https://www.cian.ru/sale/flat/307538846/,30.7,1,Люблино,9,,8650000,281759
https://www.cian.ru/sale/flat/315560920/,32.6,1,Планерная,18,,12500000,383436
https://www.cian.ru/sale/flat/312552237/,30,1,Петровский Парк,12,,10600000,353333
https://www.cian.ru/sale/flat/311846636/,24,1,Аминьевская,4,,12800000,533333
https://www.cian.ru/sale/flat/315366621/,38,1,Народное Ополчение,10,,27000000,710526
https://www.cian.ru/sale/flat/315589140/,34,1,Белорусская,14,,13990000,411471
https://www.cian.ru/sale/flat/311671252/,42.6,1,Бульвар Генерала Карбышева,4,Дизайнерский ремонт,25000000,586854
https://www.cian.ru/sale/flat/314215966/,32,1,Бутырская,9,,17500000,546875
https://www.cian.ru/sale/flat/315420230/,36.1,1,Зеленоград — Крюково,14,,7800000,216066
https://www.cian.ru/sale/flat/315718321/,49,1,Шелепиха,9,,25500000,520408
https://www.cian.ru/sale/flat/313038613/,38,1,Петровский Парк,9,,30400000,800000
https://www.cian.ru/sale/flat/315141504/,32,1,Курьяново,11,Косметический ремонт,7800000,243750
https://www.cian.ru/sale/flat/298213552/,37.3,1,Лианозово,5,,10450000,280161
https://www.cian.ru/sale/flat/315246844/,37,1,Дмитровская,12,,19250000,520270
https://www.cian.ru/sale/flat/315782280/,33,1,Домодедовская,13,,9900000,300000
https://www.cian.ru/sale/flat/315909999/,32.5,1,Филёвский парк,7,Евроремонт,12880000,396308
https://www.cian.ru/sale/flat/313282454/,81,1,,,,61000000,753086
https://www.cian.ru/sale/flat/315935123/,33,1,Речной вокзал,13,,10100000,306061
https://www.cian.ru/sale/flat/311654697/,49.8,1,Шелепиха,12,,24890000,499799
https://www.cian.ru/sale/flat/311038284/,41,1,Спартак,13,,29900000,729268
https://www.cian.ru/sale/flat/314968781/,30.8,1,Измайловская,5,,8350000,271104
https://www.cian.ru/sale/flat/308207546/,48,1,,,,30900000,643750
https://www.cian.ru/sale/flat/313282454/,81,1,,,,61000000,753086
https://www.cian.ru/sale/flat/315814638/,38.79,1,Улица Академика Янгеля,10,,12000000,309358
https://www.cian.ru/sale/flat/315643348/,33.9,1,Менделеевская,17,Косметический ремонт,13300000,392330
https://www.cian.ru/sale/flat/314904381/,38.5,1,Зябликово,12,Дизайнерский ремонт,13800000,358442
https://www.cian.ru/sale/flat/315868910/,43.8,1,Речной вокзал,8,,16300000,372146
https://www.cian.ru/sale/flat/315345114/,32,1,Проспект Вернадского,10,Дизайнерский ремонт,16900000,528125
https://www.cian.ru/sale/flat/314793550/,40.3,1,Площадь Ильича,11,,20500000,508685
https://www.cian.ru/sale/flat/315247261/,31.8,1,Аэропорт,7,,13500000,424528
https://www.cian.ru/sale/flat/313024452/,43,1,,,,21000000,488372
https://www.cian.ru/sale/flat/313873328/,44,1,Аминьевская,12,,27000000,613636
https://www.cian.ru/sale/flat/315343757/,44,1,,,Евроремонт,12650000,287500
https://www.cian.ru/sale/flat/314537751/,47.7,1,Нагорная,20,Дизайнерский ремонт,31000000,649895
https://www.cian.ru/sale/flat/313914962/,41.8,1,Белорусская,4,,42500000,1016746
https://www.cian.ru/sale/flat/315516317/,41.2,1,Перово,7,,14495000,351820
https://www.cian.ru/sale/flat/311988383/,32.4,1,Тёплый Стан,6,,9490000,292901
https://www.cian.ru/sale/flat/312662859/,42.9,1,Саларьево,10,Евроремонт,12400000,289044
https://www.cian.ru/sale/flat/314170584/,39,1,Царицыно,5,,10990000,281795
https://www.cian.ru/sale/flat/315037597/,38,1,Нагорная,5,,12500000,328947
https://www.cian.ru/sale/flat/314672030/,40,1,Братиславская,11,,12700000,317500
https://www.cian.ru/sale/flat/315856143/,30.2,1,Москва-Товарная,10,,13600000,450331
https://www.cian.ru/sale/flat/313794918/,38,1,Щёлковская,16,,13300000,350000
https://www.cian.ru/sale/flat/311905760/,32.4,1,Озёрная,6,,13500000,416667
https://www.cian.ru/sale/flat/314825709/,30.2,1,Профсоюзная,7,,10850000,359272
https://www.cian.ru/sale/flat/315978510/,41.5,1,Новаторская,19,,17000000,409639
https://www.cian.ru/sale/flat/315938897/,29,1,Тульская,9,,16900000,582759
https://www.cian.ru/sale/flat/315808335/,33,1,Ольховая,20,Косметический ремонт,7050000,213636
https://www.cian.ru/sale/flat/315508022/,34.7,1,Авиамоторная,10,,17600000,507205
https://www.cian.ru/sale/flat/312464856/,60,1,Октябрьское поле,9,,26000000,433333
https://www.cian.ru/sale/flat/315449204/,38,1,Профсоюзная,14,,15500000,407895
